State_id,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Total,"1,332,681","1,303,821","1,413,848","1,329,209","1,324,609","1,378,259","1,389,667","1,410,179","1,425,959","1,462,458","1,387,458","1,365,863","1,359,672","1,345,837","1,384,810","1,398,877","1,390,066","1,345,504","1,307,080","1,302,411","1,284,304","1,254,600","1,330,390","1,320,177","1,296,770","1,326,612","1,300,026","1,262,938","1,255,206","1,247,657","1,192,795","1,162,171","1,134,349","1,098,674","1,061,978","828,944"
1,Aguascalientes,"11,974","12,174","12,669","12,375","12,459","13,171","13,518","13,935","14,042","14,183","13,916","13,609","13,619","13,523","13,403","13,885","15,366","15,280","14,372","14,520","14,163","14,223","14,283","14,474","14,011","14,428","14,335","14,836","14,534","14,828","14,684","14,783","14,967","14,451","14,109","11,576"
2,Baja California,"21,468","20,943","22,536","22,647","23,330","25,161","25,974","26,850","27,274","28,625","27,750","26,418","28,926","29,671","30,738","30,894","29,601","30,089","29,525","30,433","30,926","31,459","31,645","31,961","31,443","31,199","31,473","30,448","29,724","30,069","30,226","28,890","27,955","26,728","25,589","23,960"
3,Baja California Sur,"4,167","4,294","4,404","4,458","4,579","4,608","4,781","4,672","4,930","5,040","4,993","4,925","5,012","5,140","5,305","5,776","5,665","5,778","5,954","6,065","5,710","6,055","6,476","6,874","7,087","6,929","6,789","6,489","6,254","6,560","6,413","6,318","6,228","6,066","5,853","5,111"
4,Campeche,"7,922","7,782","8,647","8,640","8,365","8,412","8,548","8,688","8,878","9,203","8,322","9,670","8,964","8,929","9,159","9,117","8,244","7,334","7,528","8,217","8,733","7,933","8,208","8,864","8,429","9,458","9,468","8,539","9,097","9,101","8,504","8,249","8,187","7,734","6,990","5,077"
5,Coahuila de Zaragoza,"32,190","30,472","33,008","30,905","30,296","30,856","31,604","32,103","31,051","31,178","29,939","29,838","29,439","28,915","29,057","31,520","30,245","30,984","28,799","29,262","28,481","28,673","29,757","29,636","29,672","28,964","29,992","30,386","31,761","31,950","31,761","31,227","29,604","28,951","27,091","23,464"
6,Colima,"7,060","7,385","7,436","7,010","6,963","6,967","6,975","6,959","7,148","6,830","7,058","6,948","6,863","7,084","6,984","7,162","6,488","6,681","6,506","6,761","6,470","6,392","7,017","6,831","7,185","7,528","7,681","7,299","7,343","7,356","6,894","6,689","6,542","6,430","6,351","5,294"
7,Chiapas,"57,424","57,665","66,477","61,468","62,332","96,433","97,540","85,297","84,494","76,903","71,260","59,016","66,692","67,268","66,458","68,300","80,737","93,139","70,317","66,307","69,152","66,909","79,859","79,451","72,645","87,345","84,700","72,299","82,077","82,247","74,843","71,880","66,972","66,977","71,917","50,575"
8,Chihuahua,"34,962","33,576","35,158","35,124","33,379","36,132","36,240","37,365","37,892","37,408","37,241","39,816","39,981","40,648","45,923","45,329","47,189","39,764","39,314","37,175","38,862","37,038","38,599","41,508","38,547","37,527","35,175","35,636","34,003","33,757","32,342","31,658","32,532","30,083","30,609","24,698"
9,Ciudad de México,"165,079","158,800","162,273","153,771","147,547","142,036","136,281","139,030","138,435","135,798","125,821","121,304","118,351","116,174","117,537","116,068","114,958","111,730","107,276","112,014","108,670","101,084","102,686","99,422","96,008","96,560","89,968","89,691","72,847","85,780","80,576","76,258","71,720","67,386","63,317","41,750"
10,Durango,"21,165","20,539","22,606","22,703","22,728","23,033","23,516","23,134","24,109","25,801","23,783","23,801","23,416","24,774","25,866","22,191","21,712","21,726","21,262","19,496","19,521","18,885","19,394","19,353","19,595","20,399","20,200","19,812","19,462","19,866","19,552","18,168","18,081","16,755","15,222","13,150"
11,Guanajuato,"67,451","70,608","67,068","67,701","69,408","67,143","66,312","70,870","70,678","73,814","70,054","69,580","69,224","67,984","69,500","68,083","68,256","62,104","64,592","65,465","65,663","61,157","65,498","64,722","62,766","63,113","62,161","61,482","61,260","60,685","60,037","59,524","58,413","59,145","56,276","43,164"
12,Guerrero,"48,554","46,684","57,668","39,376","46,878","48,391","46,696","58,227","55,557","79,337","70,211","62,593","59,739","47,891","56,011","75,873","62,408","48,369","61,828","53,542","48,821","48,608","56,619","48,392","47,986","58,687","55,296","48,108","50,160","44,845","39,836","43,136","38,951","36,202","37,558","28,534"
13,Hidalgo,"33,176","31,329","34,594","32,603","31,623","32,741","35,221","32,823","32,615","36,759","34,069","32,856","35,161","34,814","33,781","33,660","33,422","32,600","31,141","34,383","31,618","31,762","33,644","31,923","31,307","31,475","31,746","30,350","28,626","27,938","27,412","26,684","25,007","24,117","22,713","18,830"
14,Jalisco,"89,801","87,008","94,483","89,502","87,509","86,983","87,198","89,306","89,366","89,754","85,712","82,241","82,818","82,836","83,159","85,353","82,670","80,590","78,892","79,424","78,689","77,983","79,985","79,362","78,842","82,197","82,770","82,434","81,226","80,492","77,457","75,343","74,810","71,783","67,651","58,534"
15,México,"117,241","112,615","122,896","122,634","126,528","139,202","140,082","153,645","160,727","140,337","136,057","138,232","140,616","144,091","147,472","147,674","147,095","142,761","140,948","144,465","141,823","142,921","153,205","152,658","160,221","150,719","152,610","151,680","166,028","144,414","139,365","136,518","134,246","126,352","118,109","86,199"
16,Michoacán de Ocampo,"68,607","69,432","74,257","69,935","68,923","69,086","69,091","67,325","71,434","71,154","67,800","66,479","64,283","61,813","64,953","61,262","62,748","57,089","57,420","54,376","50,185","48,222","50,296","50,788","51,312","55,144","52,921","49,996","50,069","49,906","47,275","46,523","46,524","43,740","44,106","35,987"
17,Morelos,"19,654","19,614","20,564","19,544","19,370","19,273","19,404","18,045","18,911","20,491","17,437","17,501","19,531","17,454","19,083","19,371","20,186","19,634","17,983","17,887","18,240","17,708","20,507","19,816","18,913","20,369","20,185","19,128","18,756","18,830","19,024","18,560","17,463","15,756","15,507","12,960"
18,Nayarit,"12,598","13,564","13,867","14,514","13,331","13,203","13,015","12,611","12,755","15,105","13,193","12,228","12,525","12,135","11,724","12,420","11,615","10,957","11,122","11,328","10,430","11,281","11,229","11,355","11,400","11,617","11,483","11,945","11,177","10,546","10,233","9,338","9,460","9,268","8,359","7,472"
19,Nuevo León,"39,384","37,781","39,059","39,528","39,641","41,452","41,310","42,894","43,020","43,602","43,285","42,266","44,158","45,790","46,326","47,669","46,506","46,230","45,122","46,188","45,043","45,098","47,042","46,904","47,146","48,469","48,027","48,256","48,278","48,135","47,960","47,941","45,741","48,376","46,324","38,129"
20,Oaxaca,"53,874","54,510","57,557","55,975","53,263","53,756","52,420","53,043","53,601","56,137","57,345","61,071","59,089","53,042","57,278","62,229","69,147","59,205","54,623","57,621","54,630","50,616","57,802","55,715","51,998","52,886","48,418","47,560","45,574","44,257","42,660","41,464","39,359","39,438","37,881","25,998"
21,Puebla,"74,510","72,340","88,276","73,261","70,679","79,444","72,053","73,867","76,803","81,025","71,356","77,017","78,913","80,167","89,163","83,125","81,316","85,081","81,210","76,160","80,566","77,079","77,061","79,962","74,885","76,394","70,286","71,055","68,363","74,888","70,381","66,965","68,803","64,369","63,041","53,284"
22,Querétaro,"17,613","19,460","21,358","20,141","20,156","20,392","20,378","21,678","22,370","23,282","22,284","21,267","20,515","20,716","21,586","21,187","20,278","20,013","20,373","21,227","21,718","20,664","22,674","22,060","21,659","21,728","21,784","21,936","21,484","21,817","21,815","21,051","21,087","20,810","20,172","18,050"
23,Quintana Roo,"6,246","6,206","7,263","7,325","7,877","9,860","9,858","9,666","10,732","9,925","10,136","10,919","11,156","11,475","12,132","12,886","11,590","12,189","11,902","11,928","12,231","13,639","14,519","14,471","14,906","14,645","14,722","14,416","14,265","15,589","15,546","15,230","14,749","14,884","15,627","12,159"
24,San Luis Potosí,"32,985","33,241","36,073","33,999","33,814","33,900","32,088","35,774","35,980","35,871","35,313","33,076","32,666","32,536","33,368","33,078","30,378","29,988","30,157","30,089","29,175","28,872","29,608","29,100","28,057","28,752","28,647","27,218","26,526","26,813","25,974","24,777","24,277","24,023","23,474","21,365"
25,Sinaloa,"34,076","33,775","37,388","34,619","34,011","33,907","35,033","36,051","37,696","44,500","37,867","39,464","39,951","36,921","36,854","35,075","33,167","34,058","31,493","32,174","31,001","30,334","30,558","31,168","29,949","31,031","30,579","29,005","28,687","28,121","26,925","26,786","26,200","25,886","24,846","19,865"
