State_id,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Total,"1,332,681","1,303,821","1,413,848","1,329,209","1,324,609","1,378,259","1,389,667","1,410,179","1,425,959","1,462,458","1,387,458","1,365,863","1,359,672","1,345,837","1,384,810","1,398,877","1,390,066","1,345,504","1,307,080","1,302,411","1,284,304","1,254,600","1,330,390","1,320,177","1,296,770","1,326,612","1,300,026","1,262,938","1,255,206","1,247,657","1,192,795","1,162,171","1,134,349","1,098,674","1,061,978","828,944"
1,Aguascalientes,"11,082","11,242","11,693","11,373","11,390","12,192","12,396","12,804","12,989","13,254","13,012","12,670","12,525","12,839","12,852","12,386","13,854","13,803","13,017","13,233","12,665","12,760","12,978","13,343","12,977","13,307","13,223","13,501","13,234","13,531","13,353","13,436","13,606","12,962","12,574","10,295"
2,Baja California,"21,883","21,506","22,952","23,035","23,585","25,142","26,087","26,768","27,841","28,999","28,183","26,296","28,806","29,765","30,653","30,828","29,219","29,378","29,380","30,941","31,356","32,948","33,535","33,023","32,541","32,392","33,382","32,341","31,412","32,242","32,514","31,825","31,425","30,883","29,083","24,246"
3,Baja California Sur,"4,201","4,308","4,479","4,409","4,638","4,729","4,852","4,719","4,944","5,093","5,011","4,999","5,043","5,215","5,403","6,027","5,877","5,946","6,193","6,349","5,844","6,262","6,654","7,029","7,227","7,061","6,830","6,511","6,281","6,484","6,350","6,256","6,315","6,044","5,890","5,130"
4,Campeche,"8,407","8,331","9,394","9,346","9,027","9,092","9,207","9,350","9,877","9,920","8,942","10,355","9,814","9,675","9,927","9,920","8,848","7,654","7,895","8,753","9,280","8,369","8,579","9,204","8,768","10,224","10,924","9,265","9,733","9,789","8,981","8,772","8,639","8,226","7,454","5,398"
5,Coahuila de Zaragoza,"31,264","29,554","32,728","30,435","29,446","30,142","31,121","31,291","29,943","29,517","28,254","28,435","28,023","29,220","29,493","30,218","28,988","29,875","27,941","28,575","27,670","28,082","29,547","29,550","29,634","28,899","29,962","30,454","31,847","32,086","32,055","31,562","29,815","29,269","27,310","23,791"
6,Colima,"7,002","7,195","7,351","6,776","6,661","6,472","6,381","6,308","6,501","6,195","6,471","6,507","6,286","6,494","6,573","6,783","6,290","6,544","6,279","6,717","6,249","5,951","6,409","6,394","6,786","7,084","7,108","6,728","6,861","6,766","6,322","5,957","5,909","5,795","5,657","4,747"
7,Chiapas,"57,068","57,342","66,105","61,054","61,758","96,006","96,801","85,096","84,160","76,302","71,012","58,421","65,994","66,765","65,686","67,548","79,945","92,273","69,464","65,543","68,435","66,176","79,220","79,249","72,780","87,541","84,737","72,775","82,867","83,186","75,578","72,117","67,263","67,406","72,188","50,591"
8,Chihuahua,"34,959","33,615","35,142","35,007","33,020","35,508","35,474","36,639","37,146","36,460","36,371","38,937","39,027","40,280","45,399","45,100","48,182","39,975","39,198","37,167","38,603","36,525","38,146","41,102","38,197","37,180","34,939","35,371","33,803","33,561","32,178","31,446","32,433","29,886","30,465","24,629"
9,Ciudad de México,"131,514","131,050","135,758","133,595","129,318","122,383","116,197","118,803","117,803","118,129","106,270","100,659","96,438","98,475","99,006","97,887","94,889","91,977","85,480","86,487","81,965","77,890","80,703","79,698","77,727","80,065","78,776","77,233","73,588","73,660","69,100","65,374","60,675","56,462","52,994","32,961"
