Sate_id,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Total,"1,301,690","1,270,081","1,378,566","1,291,405","1,294,341","1,356,261","1,365,868","1,386,794","1,412,862","1,441,367","1,362,547","1,341,619","1,338,539","1,322,244","1,384,000","1,398,703","1,377,151","1,350,142","1,348,354","1,322,074","1,283,009","1,250,937","1,324,087","1,315,435","1,279,883","1,317,023","1,285,962","1,235,719","1,223,530","1,215,628","1,160,760","1,131,493","1,099,674","1,063,826","1,030,194","800,264"
1,Aguascalientes,"11,401","11,823","11,880","11,832","11,967","12,711","12,919","13,454","13,562","13,685","13,323","13,139","13,006","13,109","12,815","13,437","14,754","14,523","14,006","13,873","13,839","13,490","13,603","13,901","13,498","13,726","13,947","14,323","14,092","14,429","13,989","14,032","14,379","14,118","13,744","11,106"
2,Baja California,"20,280","20,463","21,376","22,004","22,331","24,202","24,544","26,070","25,871","24,965","26,924","25,020","27,673","28,455","29,283","29,370","28,452","29,217","28,480","29,311","29,774","30,158","30,810","31,064","30,100","29,872","30,494","29,045","28,846","28,916","29,241","28,143","27,358","25,689","24,568","23,096"
3,Baja California Sur,"3,893","3,996","4,388","4,347","4,285","4,544","4,443","4,538","4,581","4,463","4,716","4,639","4,727","4,824","5,016","5,699","5,633","5,577","5,558","5,812","5,484","5,761","6,257","6,765","6,954","6,744","6,513","6,317","6,193","6,205","6,151","6,198","6,129","5,846","5,784","4,990"
4,Campeche,"7,616","7,716","8,455","8,371","8,213","8,223","8,215","8,447","8,788","9,043","8,258","9,255","8,885","8,656","9,187","8,960","7,972","7,128","7,498","7,878","8,312","7,724","7,895","8,481","8,155","9,146","9,376","8,290","8,619","8,805","8,386","8,062","7,852","7,438","6,807","4,874"
5,Coahuila de Zaragoza,"30,914","29,661","32,211","29,994","29,389","30,171","30,792","31,181","29,741","30,551","29,153","28,788","28,467","28,021","27,916","30,771","29,529","29,733","28,168","28,326","27,978","28,409","29,413","29,130","28,671","28,103","29,068","29,595","30,708","30,810","30,675","30,476","28,692","27,635","26,007","22,901"
6,Colima,"6,730","6,754","7,454","6,772","6,835","6,855","6,683","6,599","6,602","6,541","6,883","6,629","6,457","6,674","6,629","6,456","6,301","6,421","6,236","6,433","6,246","6,280","6,767","6,674","6,890","6,977","7,309","7,074","6,879","7,031","6,567","6,423","6,383","6,189","6,037","5,022"
7,Chiapas,"55,417","56,121","64,624","60,017","62,215","102,475","105,863","90,704","89,979","80,890","72,318","58,886","66,370","67,256","67,540","69,860","80,900","95,755","75,652","69,185","69,786","66,694","79,402","78,453","72,175","87,921","83,721","71,128","80,337","80,808","72,640","69,862","64,625","65,061","69,963","48,465"
8,Chihuahua,"34,301","32,429","33,914","33,591","32,494","34,419","34,708","36,117","36,509","35,914","36,088","37,778","38,536","39,370","45,610","43,489","44,592","40,302","38,885","37,267","39,249","36,592","38,151","41,431","38,324","37,093","34,609","34,473","32,779","32,710","31,350","30,944","31,166","28,856","29,525","23,544"
9,Ciudad de México,"159,968","154,153","158,066","149,167","143,216","137,997","132,853","135,263","136,997","131,683","121,117","117,143","116,218","112,733","115,826","114,903","112,438","110,330","105,632","110,530","107,733","100,261","101,195","99,630","94,594","96,537","89,763","89,483","71,034","84,918","79,519","74,942","69,688","65,926","61,438","40,366"
10,Durango,"20,767","20,180","21,891","22,112","22,216","22,330","22,710","22,068","23,597","25,512","23,170","23,421","22,806","24,349","26,829","21,889","20,805","22,239","22,028","19,338","19,148","18,672","19,829","19,177","19,082","20,501","19,729","19,116","18,966","19,328","18,732","17,564","17,214","16,098","14,983","12,659"
11,Guanajuato,"66,391","68,582","64,667","64,627","67,518","66,262","65,030","69,218","68,972","71,755","67,419","67,078","67,988","66,444","69,377","66,917","66,948","61,503","66,278","65,218","64,667","60,493","65,114","63,913","61,131","62,100","60,409","59,639","59,390","58,490","57,963","57,388","57,065","56,902","54,215","41,876"
12,Guerrero,"47,195","44,911","56,494","37,255","46,095","48,052","46,160","57,080","54,455","79,585","71,550","63,392","59,549","48,312","58,212","82,516","69,173","54,000","73,782","60,964","51,314","51,423","57,284","50,966","48,422","58,418","55,904","47,627","49,490","43,904","39,065","42,076","38,002","34,762","36,377","27,784"
13,Hidalgo,"33,088","31,253","34,579","32,463","31,496","32,735","35,228","32,931","32,652","36,495","32,977","32,820","35,346","35,341","37,209","35,264","34,877","34,661","33,829","36,899","32,668","32,514","35,109","33,198","31,465","31,576","31,779","30,291","28,705","27,382","27,280","25,997","24,917","23,449","21,986","18,233"
14,Jalisco,"86,909","84,185","91,571","86,287","84,690","84,720","84,341","86,020","86,526","86,536","82,899","80,003","79,539","80,119","81,485","83,446","80,416","78,565","77,744","77,843","76,100","75,371","77,251","77,490","76,542","79,551","81,038","79,395","78,482","78,069","74,302","72,961","71,752","69,226","65,496","55,717"
15,México,"116,805","111,584","120,782","120,473","123,564","138,384","139,335","156,773","171,604","138,397","134,557","135,878","138,917","141,544","146,146","146,552","144,322","140,665","139,997","143,335","140,744","142,290","151,331","151,434","156,778","149,728","151,480","147,707","162,547","141,245","136,045","133,458","129,443","122,979","113,834","83,105"
16,Michoacán de Ocampo,"66,576","68,181","72,025","67,605","67,833","68,866","68,182","66,838","71,128","70,430","68,476","66,361","64,205","61,846","67,351","61,237","61,606","57,770","63,401","54,795","50,476","48,275","50,211","51,146","50,678","55,333","51,974","48,652","48,894","49,320","46,171","45,285","44,638","42,872","42,830","34,906"
17,Morelos,"19,603","18,644","19,460","19,005","18,615","18,256","18,789","17,560","18,231","20,213","17,081","17,112","19,145","16,822","18,862","18,882","19,493","19,226","18,168","17,875","18,098","17,245","19,899","19,054","18,573","20,320","19,940","18,815","18,463","18,319","18,441","17,889","16,705","15,302","15,129","12,486"
