State_id,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Total,"1,301,690","1,270,081","1,378,566","1,291,405","1,294,341","1,356,261","1,365,868","1,386,794","1,412,862","1,441,367","1,362,547","1,341,619","1,338,539","1,322,244","1,384,000","1,398,703","1,377,151","1,350,142","1,348,354","1,322,074","1,283,009","1,250,937","1,324,087","1,315,435","1,279,883","1,317,023","1,285,962","1,235,719","1,223,530","1,215,628","1,160,760","1,131,493","1,099,674","1,063,826","1,030,194","800,264"
1,Aguascalientes,"10,589","10,971","11,071","10,963","11,020","11,784","11,928","12,395","12,549","12,787","12,538","12,264","11,960","12,477","12,249","12,083","13,412","13,262","12,740","12,719","12,489","12,190","12,435","12,866","12,541","12,705","12,824","13,183","12,891","13,230","12,837","12,739","13,132","12,761","12,219","9,868"
2,Baja California,"20,842","21,101","21,908","22,400","22,732","24,159","24,750","26,055","26,574","25,450","27,468","24,978","27,666","28,621","29,341","29,550","28,110","28,648","28,347","29,758","30,248","32,068","32,743","32,095","31,307","31,401","32,549","30,992","30,578","31,102","31,509","31,033","30,776","29,651","27,834","23,378"
3,Baja California Sur,"3,933","4,023","4,502","4,327","4,338","4,643","4,487","4,619","4,594","4,523","4,730","4,707","4,734","4,858","5,061","5,962","5,885","5,751","5,868","6,112","5,645","6,022","6,481","6,936","7,099","6,901","6,536","6,314","6,195","6,142","6,112","6,150","6,183","5,807","5,795","4,992"
4,Campeche,"8,102","8,202","9,245","9,040","8,834","8,919","8,897","9,097","9,828","9,775","8,880","9,882","9,703","9,454","10,027","9,751","8,575","7,471","7,852","8,438","9,040","8,187","8,301","8,782","8,438","10,142","11,189","9,090","9,285","9,519","8,794","8,491","8,313","7,923","7,279","5,202"
5,Coahuila de Zaragoza,"29,962","28,777","31,838","29,642","28,522","29,419","30,196","30,495","28,598","29,033","27,552","27,438","27,116","28,321","28,365","29,547","28,233","28,671","27,309","27,632","27,146","27,860","29,200","28,969","28,654","28,118","29,037","29,708","30,799","31,003","31,052","30,858","28,973","27,921","26,242","23,132"
6,Colima,"6,749","6,659","7,381","6,656","6,566","6,455","6,189","5,968","6,045","5,905","6,332","6,166","5,997","6,237","6,470","6,235","6,220","6,430","6,212","6,525","6,010","5,726","6,279","6,257","6,636","6,667","6,831","6,602","6,381","6,532","5,983","5,874","5,795","5,566","5,362","4,439"
7,Chiapas,"55,071","55,834","64,203","59,624","61,685","102,028","105,140","90,531","89,525","80,273","72,032","58,322","65,622","66,717","66,739","69,068","80,082","94,830","74,710","68,253","68,870","65,796","78,643","78,058","72,103","87,841","83,459","71,578","81,235","81,598","73,260","70,106","64,798","65,487","70,206","48,414"
8,Chihuahua,"34,341","32,510","33,979","33,513","32,126","33,808","33,953","35,318","35,885","34,814","35,308","37,003","37,670","39,056","44,985","43,429","45,671","40,501","38,701","37,143","39,073","36,099","37,779","40,958","38,028","36,780","34,380","34,173","32,643","32,465","31,080","30,807","31,086","28,684","29,349","23,393"
9,Ciudad de México,"126,759","126,557","131,778","128,973","125,036","118,176","112,495","114,649","113,996","114,598","101,726","97,042","94,014","95,203","96,648","96,165","92,686","91,070","84,489","85,905","82,318","78,087","79,999","80,315","77,320","80,967","79,496","77,774","72,259","72,723","68,149","64,158","59,282","55,359","51,451","31,843"
10,Durango,"22,073","21,421","22,727","22,739","23,602","23,900","24,152","23,747","25,436","27,351","25,522","25,571","24,819","23,941","26,151","23,849","22,244","23,577","23,308","20,263","20,184","19,465","20,511","19,780","19,718","21,294","20,770","20,054","19,658","19,999","19,525","18,484","18,563","17,817","16,362","13,651"
