State_id,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Total,"21,200","5,399","1,976","1,417","1,312",792,912,424,865,564,439,236,214,347,279,759,393,"3,438",460,571,593,402,606,498,561,273,299,223,153,135,41,44,16,35,42,3
1,Aguascalientes,1,5,1,3,10,4,5,3,8,2,7,,9,1,1,1,,1,,,,,,,,,,,,,,,,,,
2,Baja California,59,17,183,86,50,19,20,7,26,98,13,23,17,26,33,19,24,20,36,34,39,28,36,27,24,,21,28,7,16,19,31,1,3,,
3,Baja California Sur,43,17,28,13,11,4,7,3,,5,3,2,,7,12,3,1,,,,2,,,,,,1,1,,,,,,,,
4,Campeche,17,4,1,,3,1,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
5,Coahuila de Zaragoza,849,55,25,16,8,6,11,11,,,,,,,1,,13,,,,4,,,,,,,,1,,,,,,,
6,Colima,114,93,17,4,1,1,,1,3,,,,,1,2,4,,,,,,,,,,,,,,,,,,,,
7,Chiapas,"1,047",337,26,34,46,7,56,42,17,14,13,3,,16,3,7,24,35,37,15,16,16,16,12,21,61,61,59,39,77,2,5,4,,,
8,Chihuahua,368,126,71,71,91,69,48,36,50,31,31,15,8,,,5,20,"3,096",15,37,105,10,2,,17,,2,,,,,,,,,
9,Ciudad de México,"1,766",818,20,103,59,59,43,14,38,46,49,12,26,50,62,560,32,46,37,,,87,13,9,23,,,,,,,,,,,
10,Durango,25,5,2,15,26,13,25,27,31,37,9,5,,11,,1,9,14,8,11,8,7,2,1,,,,,,,,,,,,
11,Guanajuato,773,61,91,61,80,25,30,45,146,54,36,43,24,11,17,18,1,15,9,104,37,22,202,12,42,34,25,31,35,11,8,2,3,8,27,2
12,Guerrero,"1,517","1,019",205,93,101,98,116,7,11,23,13,2,,,1,10,2,,3,,4,2,2,1,2,5,5,2,,,1,1,,1,,
13,Hidalgo,627,12,24,15,17,18,28,9,29,5,5,2,2,1,,,27,14,18,61,40,100,156,260,163,,7,50,27,23,10,,,,,
14,Jalisco,"1,561",490,59,46,64,21,22,36,42,13,11,11,8,23,8,14,2,8,15,26,28,8,19,11,2,,,,,,,,,,,
15,México,"3,273",59,37,54,64,58,62,19,23,59,23,11,5,15,10,16,7,7,4,5,4,1,1,3,23,,86,,24,,,,,,,
16,Michoacán de Ocampo,"1,728",460,59,33,34,13,17,5,39,5,6,6,3,13,7,5,5,,4,5,2,,,,1,,,,,,,,,,,1
17,Morelos,12,18,6,5,4,4,23,1,1,2,4,4,1,,,3,2,,,1,,2,25,70,115,,,,,,,,,,,
18,Nayarit,2,2,4,3,3,12,1,3,10,2,,,4,2,1,1,,1,,,,,,,,1,,,,1,,,,,,
19,Nuevo León,2,,,2,5,1,4,9,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,
20,Oaxaca,781,47,31,16,21,4,41,6,11,15,26,4,3,22,6,31,96,33,116,140,115,23,4,9,,,,27,,,,,,,,
21,Puebla,"1,027",486,67,77,62,69,78,21,83,27,39,26,21,27,19,13,52,80,62,43,67,19,66,35,84,140,62,15,10,2,,,,,2,
22,Querétaro,373,159,67,38,108,21,27,18,27,25,14,7,23,1,27,8,,,8,6,15,6,,3,2,7,5,3,,,,,,,,
23,Quintana Roo,91,1,1,1,4,3,11,1,,,,,,,,,,8,1,,1,4,,,,,,,,,,5,8,23,13,
24,San Luis Potosí,714,185,58,47,116,35,55,42,76,25,28,16,22,4,10,4,,,,10,18,9,6,3,6,3,9,,,,,,,,,
25,Sinaloa,666,111,360,171,51,26,30,14,50,27,35,7,24,32,17,3,1,4,,3,3,,,,,,,,,,,,,,,
26,Sonora,423,79,218,287,70,75,26,8,9,25,29,16,5,47,26,4,,,,,,,,,,,1,,,,,,,,,
27,Tabasco,334,148,17,9,7,3,12,14,13,11,7,7,8,15,14,11,5,17,47,13,8,9,10,13,9,15,10,6,9,2,,,,,,
28,Tamaulipas,106,33,10,10,40,1,2,4,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,
29,Tlaxcala,178,8,1,3,2,1,5,,5,1,3,,,,,,17,6,7,13,13,4,12,6,11,6,2,,,,,,,,,
30,Veracruz de Ignacio de la Llave,"1,831",482,262,86,136,88,55,2,63,,17,,1,20,,3,42,23,26,37,47,25,32,22,16,1,1,,,,,,,,,
31,Yucatán,538,4,,1,9,3,3,1,,,,,,,,,,,2,1,7,10,,,,,1,1,,1,1,,,,,
32,Zacatecas,354,58,25,14,9,30,49,14,54,12,18,13,,1,1,14,10,10,5,6,10,10,2,1,,,,,,,,,,,,
