state_id,state,Total,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,No especificado
00,Total,"828,944",34,8,23,17,15,28,22,45,28,39,42,56,73,54,65,68,53,95,73,82,85,88,86,70,98,96,103,148,117,171,145,176,144,102,143,151,194,189,121,142,122,116,127,113,126,121,112,124,106,116,138,144,159,143,139,137,137,162,146,140,122,131,122,147,143,136,159,205,197,215,244,210,249,236,252,238,290,352,404,770,754,691,"1,010",589,615,719,569,623,630,790,"1,144","2,239","3,959","6,625","10,840","19,089","170,535","596,568",16
01,Aguascalientes,"11,576",1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,1,1,,,,,,1,1,,,,,1,1,1,,,,1,1,,1,1,1,3,,3,,,,2,1,,1,1,3,12,17,27,38,90,"1,894","9,467",
02,Baja California,"23,960",,,,,,,,,,1,,1,,,,1,1,1,2,2,,,,,,2,,2,3,,1,2,2,2,6,2,1,2,4,1,2,4,6,6,7,4,7,6,9,9,6,14,18,21,15,12,17,17,18,24,19,20,19,29,23,22,29,45,37,34,43,26,39,38,36,27,37,40,61,81,70,74,196,87,76,78,64,56,46,44,48,93,145,119,159,259,"2,683","18,697",
03,Baja California Sur,"5,111",,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,1,1,,,,,,,,3,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1,2,1,2,,3,,3,4,2,,3,2,8,14,27,27,50,910,"4,037",
04,Campeche,"5,077",,,,,,,1,,,,,1,1,,1,,1,2,1,1,,,,,,,,,,,1,,,,1,2,1,2,2,,1,,,,,,,,,1,,,,,,,1,,,,,,,,1,,2,,,,,,,,1,,1,,1,1,,,,1,1,,2,,2,5,2,15,30,57,82,170,"1,462","3,220",
05,Coahuila de Zaragoza,"23,464",,,1,1,,1,1,1,,,,2,2,,,1,,,1,3,1,,3,,,1,2,2,2,3,1,4,3,1,1,6,4,2,,1,4,1,1,,,1,1,1,1,2,2,1,,4,,2,,4,1,,1,1,,3,,,,1,2,1,1,2,2,4,1,1,1,2,5,8,5,4,6,3,2,5,3,3,5,8,10,18,32,62,95,174,"2,159","20,754",3
06,Colima,"5,294",,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,1,,2,2,,1,1,,,1,,,,1,11,10,11,28,47,718,"4,451",
07,Chiapas,"50,575",,,,,,,2,,,,1,1,1,,,1,,2,1,,1,,2,4,,1,2,1,1,3,1,4,1,1,3,4,8,6,5,4,3,4,3,5,7,4,3,7,5,2,7,3,5,2,8,9,3,12,7,11,6,11,5,3,8,6,8,4,8,9,8,17,17,20,13,18,15,18,15,280,296,140,126,94,111,145,144,174,206,254,382,636,"1,096","1,792","3,213","5,033","17,254","18,819",
08,Chihuahua,"24,698",2,,,,,1,,,,1,2,,2,1,2,7,,3,,1,1,2,1,,5,,4,5,3,,5,2,2,1,3,4,1,1,2,5,3,2,1,1,2,2,1,4,,2,1,1,3,2,2,1,3,2,3,7,2,8,6,5,6,7,2,8,4,11,5,4,4,6,7,6,12,8,11,11,11,6,8,10,18,21,23,31,47,55,89,117,208,263,400,752,"4,228","18,166",
09,Ciudad de México,"41,750",,,,,1,,,2,,,1,3,2,3,1,1,3,2,2,,5,5,2,3,3,1,1,5,1,1,4,3,5,4,2,10,6,3,5,8,4,2,4,2,3,3,1,5,3,4,3,6,1,1,,,3,,3,2,2,4,4,2,5,2,,2,3,2,5,4,3,4,4,4,1,5,5,8,5,7,9,12,9,11,7,4,11,18,36,90,154,245,280,544,"7,852","32,239",
