state_id,state,Total,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,No especificado
0,Total,"800,264",67,29,34,36,30,55,36,61,43,71,52,52,88,78,79,89,95,120,69,124,102,89,126,116,138,106,115,173,151,172,121,175,188,153,208,184,207,207,145,174,165,177,156,156,163,147,144,155,121,135,139,163,149,114,138,135,125,135,125,131,122,119,134,107,124,131,150,184,185,206,207,232,188,208,239,265,268,354,478,743,725,747,"1,117",526,589,700,593,600,604,771,"1,105","2,107","3,865","6,543","11,037","18,899","164,843","573,001",17
1,Aguascalientes,"11,106",3,,,,,1,,,,,,,1,,,,,1,,,,,1,,1,,,,,1,,,1,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,2,1,,2,1,2,,2,,,3,1,1,3,6,3,1,2,3,11,10,27,32,89,"1,780","9,109",
2,Baja California,"23,096",,,,,,,,,1,,,,,,,,1,,,,,,,,3,1,1,2,1,3,,3,2,2,4,2,,,,5,4,4,7,6,7,9,3,4,7,10,6,16,12,12,12,9,14,15,15,15,14,16,29,23,26,21,32,27,38,37,39,38,22,32,30,27,25,41,59,112,62,96,196,68,72,81,60,46,48,46,69,73,127,113,185,276,"2,654","17,918",
3,Baja California Sur,"4,990",,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,1,,2,,1,1,2,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,2,,1,5,2,2,3,1,2,2,1,3,11,6,14,26,62,919,"3,914",
4,Campeche,"4,874",,,,1,,,,,,,,,1,,1,,1,,,,1,,,,,1,,1,,2,,2,1,,1,1,,,2,2,2,,,1,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,3,,1,1,2,1,1,1,7,15,36,49,96,156,"1,396","3,084",
5,Coahuila de Zaragoza,"22,901",,,1,1,2,2,,,1,,,,,2,,4,1,2,2,2,2,1,,4,1,,,3,2,5,4,3,6,2,4,8,6,4,1,3,2,2,1,1,5,3,1,,3,4,1,3,2,,2,1,,1,,,,1,1,,1,3,2,3,2,2,3,2,2,2,2,,2,2,1,5,4,5,10,4,2,5,5,4,2,4,4,16,35,79,82,171,"2,088","20,232",2
6,Colima,"5,022",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,1,1,,,,,,,,,,1,,,,,,,,1,2,,,,,2,,1,2,,1,,1,,1,1,,,1,1,2,,1,,,,3,2,,2,2,3,6,8,29,34,41,654,"4,215",
7,Chiapas,"48,465",,1,,,,,,1,,,,,1,,,1,3,2,2,1,,2,1,1,4,,1,4,3,4,4,4,5,6,3,4,2,3,4,3,8,4,3,10,11,8,7,7,3,4,2,6,3,6,4,2,8,7,6,7,5,10,8,8,3,6,7,7,3,8,9,12,17,14,12,17,12,19,15,200,232,138,93,103,106,132,142,176,195,267,358,676,"1,093","1,689","3,119","4,889","16,499","17,980",
8,Chihuahua,"23,544",1,2,,,,,1,1,3,,5,,1,3,1,1,4,2,,4,1,4,,2,1,1,2,2,2,4,2,1,4,1,3,1,3,2,1,,,3,2,2,3,2,2,3,3,2,3,1,2,,4,3,2,3,2,2,4,2,5,1,4,4,5,7,8,8,9,11,5,5,14,7,12,13,21,10,25,15,19,12,15,19,30,40,32,46,72,118,202,252,416,741,"3,945","17,279",1
9,Ciudad de México,"40,366",5,2,1,2,2,3,4,5,,4,1,3,5,2,2,1,4,5,5,4,7,8,12,4,9,7,5,10,5,6,9,7,4,4,15,13,12,17,10,7,10,10,10,6,5,6,1,2,2,4,2,4,2,1,3,1,4,4,1,2,3,1,1,3,4,4,1,5,7,5,2,3,7,3,5,9,4,7,5,12,8,5,15,1,7,10,7,16,12,26,33,62,150,262,324,526,"7,684","30,816",
10,Durango,"12,659",2,,,,1,,,,,,2,1,4,2,1,5,4,3,1,1,2,4,5,7,5,1,4,3,3,5,4,4,2,4,5,5,6,6,5,7,5,6,6,2,5,4,3,5,3,2,1,4,3,5,,2,3,2,2,4,2,6,,1,3,4,3,2,2,3,3,3,2,2,,2,6,4,4,3,6,1,3,2,3,3,5,4,6,8,21,44,63,124,161,277,"2,501","9,191",
11,Guanajuato,"41,876",4,1,1,3,2,3,,2,2,1,,2,2,1,1,,1,2,,3,,,1,3,3,2,3,2,2,1,,5,1,3,,2,3,1,1,2,1,3,2,,1,1,1,,,2,,1,1,,3,,,1,1,1,1,,1,,,1,3,4,1,1,4,1,2,1,2,2,3,7,2,8,12,9,4,5,6,10,10,5,5,9,11,37,57,119,260,553,"7,968","32,667",
12,Guerrero,"27,784",10,4,6,6,2,10,2,13,13,20,12,12,20,22,22,27,17,33,12,26,18,16,22,19,19,18,19,20,26,33,18,27,35,23,29,39,26,34,30,31,18,44,31,23,28,27,26,24,24,16,33,15,20,12,21,19,13,12,10,11,10,7,11,9,8,9,5,7,4,2,5,9,7,9,11,11,12,15,19,17,12,13,13,7,9,12,10,9,12,15,25,94,119,316,811,"1,303","7,063","16,536",
